   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 __init__.py:383(register_loader_type)
        1    0.000    0.000    0.000    0.000 __init__.py:388(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:390(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:392(return_current_uri_page_only)
        1    0.001    0.001    0.001    0.001 __init__.py:4(<module>)
      166    0.000    0.000    0.010    0.000 __init__.py:401(directory_in_cache)
        1    0.000    0.000    0.002    0.002 __init__.py:404(_macosx_vers)
        1    0.000    0.000    0.000    0.000 __init__.py:42(<module>)
       26    0.000    0.000    0.028    0.001 __init__.py:421(return_current_directory_offset)
        1    0.000    0.000    0.000    0.000 __init__.py:422(get_build_platform)
       11    0.000    0.000    0.000    0.000 __init__.py:425(return_current_uri)
        1    0.000    0.000    0.000    0.000 __init__.py:428(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:43(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:44(IDummy)
        1    0.000    0.000    0.000    0.000 __init__.py:442(LoadLibrary)
       16    0.000    0.000    0.001    0.000 __init__.py:443(revert_to_parsed)
        1    0.000    0.000    0.000    0.000 __init__.py:46(Dummy)
       32    0.001    0.000    0.003    0.000 __init__.py:469(parse_uri)
       86    0.000    0.000    0.000    0.000 __init__.py:47(is_int)
        3    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
       16    0.000    0.000    0.000    0.000 __init__.py:491(find_next_empty)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
        3    0.000    0.000    0.000    0.000 __init__.py:494(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:50(<module>)
      166    0.001    0.000    0.042    0.000 __init__.py:512(directory_changed)
        1    0.000    0.000    0.000    0.000 __init__.py:533(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:536(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:537(is_ascii_codec)
      166    0.000    0.000    0.150    0.001 __init__.py:555(smart_read)
        1    0.000    0.000    0.000    0.000 __init__.py:557(IResourceProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:573(Filterer)
       13    0.000    0.000    0.000    0.000 __init__.py:578(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:585(WorkingSet)
        1    0.000    0.000    0.020    0.020 __init__.py:588(__init__)
        2    0.002    0.001    0.002    0.001 __init__.py:6(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:60(norm_page_cnt)
        1    0.000    0.000    0.020    0.020 __init__.py:601(_build_master)
       43    0.000    0.000    0.031    0.001 __init__.py:643(add_entry)
        1    0.000    0.000    0.000    0.000 __init__.py:646(Handler)
       76    0.000    0.000    0.032    0.000 __init__.py:648(return_sorted)
        1    0.000    0.000    0.000    0.000 __init__.py:666(Base64Engine)
      398    0.000    0.000    0.000    0.000 __init__.py:679(<lambda>)
